Uke,År,Lokalitetsnummer,Lokalitetsnavn,Sykdom,Status,Fra dato,Til dato,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,ProduksjonsområdeId,Produksjonsområde,UtbruddsId,Subtype,Mistanke-dato,Påvist-dato,Tømt-dato,Avsluttet-dato
8,2021,13549,Løypingneset,PD,Påvist,2020-01-20,2021-04-24,4648,BREMANGER,46,Vestland,61.82007,5.247533,4,Nordhordaland til Stadt,PD2020-49,SAV3,2020-01-20,2020-01-27,2021-02-02,2021-04-24
8,2021,36757,Lubben,ILA,Påvist,2020-10-08,2021-08-12,5423,KARLSØY,54,Troms og Finnmark,69.936714,19.832184,11,Kvaløya til Loppa,ILA2020-26,HPR_del_ILAV,2020-10-08,2020-10-20,2021-01-15,2021-08-12
8,2021,12978,Lyngholmen,PD,Påvist,2020-12-09,2021-12-11,4635,GULEN,46,Vestland,61.016933,5.007033,4,Nordhordaland til Stadt,PD2020-157,SAV3,2020-12-09,2021-01-27,2021-07-29,2021-12-11
8,2021,13550,Marøy Nø,PD,Påvist,2020-03-05,2021-04-20,4648,BREMANGER,46,Vestland,61.847935,5.295383,4,Nordhordaland til Stadt,PD2020-50,SAV3,2020-03-05,2020-04-02,2021-01-24,2021-04-20
8,2021,11807,Marøytåa,PD,Påvist,2020-05-20,2021-08-31,4602,KINN,46,Vestland,61.506767,5.118367,4,Nordhordaland til Stadt,PD2020-27,SAV3,2020-05-20,2020-06-03,2021-06-29,2021-08-31
8,2021,13629,Munkholmen,PD,Mistanke,2020-10-06,2021-03-29,1146,TYSVÆR,11,Rogaland,59.285484,5.631317,2,Ryfylke,PD2020-142,SAV3,2020-10-06,,2020-12-19,2021-03-29
8,2021,11332,Myrlandshaug,ILA,Påvist,2020-07-27,2021-10-02,5414,GRATANGEN,54,Troms og Finnmark,68.78055,17.282284,10,Andøya til Senja,ILA2020-21,HPR_del_ILAV,2020-07-27,2020-08-26,2020-11-22,2021-10-02
8,2021,33997,Næringsbukta,ILA,Påvist,2020-07-03,2021-07-01,5433,HASVIK,54,Troms og Finnmark,70.65892,22.642418,12,Vest-Finnmark,ILA2020-16,HPR_del_ILAV,2020-07-03,2020-07-16,2020-09-22,2021-07-01
8,2021,10303,Nappeholmane,PD,Påvist,2020-09-30,2021-05-26,4613,BØMLO,46,Vestland,59.742985,5.363633,3,Karmøy til Sotra,PD2020-141,SAV3,2020-09-30,2020-10-14,2021-12-01,2021-05-26
8,2021,13221,Nautvik,PD,Påvist,2020-06-30,2021-07-16,1103,STAVANGER,11,Rogaland,59.183483,5.94915,2,Ryfylke,PD2020-98,SAV3,2020-06-30,2020-07-17,2021-05-10,2021-07-16
